object_type,entry_time,exit_time,zone_of_entrance,zone_of_exit,camera_id
male,06.09.2025 08:08:54,06.09.2025 08:12:44,None,Entrance 1,2
female,06.09.2025 08:05:46,06.09.2025 08:13:20,Entrance 1,Entrance 1,2
male,06.09.2025 08:10:47,06.09.2025 08:14:01,Entrance 1,Entrance 1,2
female,06.09.2025 08:11:17,06.09.2025 08:16:43,Entrance 1,Entrance 1,1
male,06.09.2025 08:13:38,06.09.2025 08:17:10,Entrance 1,Entrance 2,1
male,06.09.2025 08:10:29,06.09.2025 08:17:51,Entrance 1,Entrance 1,1
female,06.09.2025 08:08:36,06.09.2025 08:18:15,Entrance 1,Entrance 1,1
female,06.09.2025 08:14:12,06.09.2025 08:18:17,None,Entrance 2,1
male,06.09.2025 08:08:25,06.09.2025 08:18:25,Entrance 2,Entrance 2,1
male,06.09.2025 08:08:50,06.09.2025 08:18:50,Entrance 2,Entrance 1,1
male,06.09.2025 08:14:59,06.09.2025 08:19:41,None,Entrance 1,2
male,06.09.2025 08:17:48,06.09.2025 08:20:48,None,Entrance 1,1
female,06.09.2025 08:11:42,06.09.2025 08:20:59,Entrance 1,Entrance 1,2
female,06.09.2025 08:12:52,06.09.2025 08:21:26,Entrance 1,Entrance 1,2
male,06.09.2025 08:16:48,06.09.2025 08:21:30,Entrance 1,Entrance 2,1
male,06.09.2025 08:15:54,06.09.2025 08:21:42,Entrance 1,None,2
female,06.09.2025 08:19:15,06.09.2025 08:22:15,Entrance 1,Entrance 2,1
male,06.09.2025 08:16:14,06.09.2025 08:22:27,Entrance 1,None,2
male,06.09.2025 08:19:46,06.09.2025 08:22:46,Entrance 1,Entrance 1,1
male,06.09.2025 08:17:29,06.09.2025 08:23:12,Entrance 2,Entrance 2,1
male,06.09.2025 08:20:34,06.09.2025 08:24:44,Entrance 1,Entrance 2,1
female,06.09.2025 08:16:45,06.09.2025 08:24:52,Entrance 1,Entrance 1,2
male,06.09.2025 08:19:54,06.09.2025 08:25:11,Entrance 1,Entrance 1,1
male,06.09.2025 08:15:55,06.09.2025 08:25:55,Entrance 2,Entrance 1,1
car,06.09.2025 07:38:21,06.09.2025 08:26:57,None,None,1
female,06.09.2025 08:17:50,06.09.2025 08:27:50,Entrance 2,Entrance 2,1
female,06.09.2025 08:20:33,06.09.2025 08:28:33,Entrance 1,Entrance 2,1
car,06.09.2025 07:46:30,06.09.2025 08:29:51,None,None,1
male,06.09.2025 08:26:29,06.09.2025 08:29:51,Entrance 2,Entrance 1,1
female,06.09.2025 08:24:21,06.09.2025 08:30:28,Entrance 2,Entrance 1,1
female,06.09.2025 08:28:40,06.09.2025 08:33:05,Entrance 2,Entrance 1,1
female,06.09.2025 08:25:43,06.09.2025 08:33:37,Entrance 1,Entrance 1,1
male,06.09.2025 08:29:40,06.09.2025 08:34:24,None,Entrance 1,1
male,06.09.2025 08:27:32,06.09.2025 08:35:27,Entrance 1,None,2
male,06.09.2025 08:34:32,06.09.2025 08:37:51,Entrance 1,Entrance 1,2
male,06.09.2025 08:29:55,06.09.2025 08:38:04,Entrance 2,Entrance 1,1
female,06.09.2025 08:30:44,06.09.2025 08:38:08,Entrance 1,Entrance 1,2
male,06.09.2025 08:34:16,06.09.2025 08:38:15,Entrance 1,Entrance 2,1
male,06.09.2025 08:35:33,06.09.2025 08:38:33,None,Entrance 1,1
male,06.09.2025 08:37:54,06.09.2025 08:41:31,Entrance 1,Entrance 2,1
female,06.09.2025 08:38:53,06.09.2025 08:41:53,Entrance 1,Entrance 1,1
male,06.09.2025 08:39:25,06.09.2025 08:42:25,None,Entrance 1,2
male,06.09.2025 08:40:06,06.09.2025 08:44:44,Entrance 1,Entrance 1,2
male,06.09.2025 08:40:47,06.09.2025 08:45:32,Entrance 2,Entrance 2,1
male,06.09.2025 08:35:44,06.09.2025 08:45:44,Entrance 2,Entrance 1,1
female,06.09.2025 08:35:59,06.09.2025 08:45:59,Entrance 2,Entrance 2,1
male,06.09.2025 08:41:31,06.09.2025 08:46:33,Entrance 1,Entrance 1,1
female,06.09.2025 08:37:20,06.09.2025 08:47:20,Entrance 2,Entrance 2,1
male,06.09.2025 08:50:19,06.09.2025 08:54:11,Entrance 1,Entrance 1,2
car,06.09.2025 07:17:33,06.09.2025 08:54:40,None,None,1
male,06.09.2025 08:47:44,06.09.2025 08:55:30,Entrance 1,Entrance 1,2
car,06.09.2025 08:00:19,06.09.2025 08:56:25,None,None,1
female,06.09.2025 08:50:42,06.09.2025 08:57:45,Entrance 1,Entrance 1,2
female,06.09.2025 08:47:47,06.09.2025 08:57:47,Entrance 1,Entrance 1,2
car,06.09.2025 07:30:07,06.09.2025 08:58:15,None,None,2
female,06.09.2025 08:54:50,06.09.2025 08:58:57,Entrance 1,Entrance 1,2
female,06.09.2025 08:54:54,06.09.2025 08:59:49,Entrance 1,Entrance 1,2
female,06.09.2025 08:55:28,06.09.2025 09:00:28,Entrance 1,Entrance 1,2
male,06.09.2025 09:00:48,06.09.2025 09:03:48,None,Entrance 1,2
male,06.09.2025 09:00:45,06.09.2025 09:04:43,Entrance 1,Entrance 1,1
male,06.09.2025 08:59:56,06.09.2025 09:04:55,Entrance 1,Entrance 1,2
male,06.09.2025 09:00:51,06.09.2025 09:05:34,Entrance 1,Entrance 1,2
male,06.09.2025 09:00:54,06.09.2025 09:05:45,Entrance 1,Entrance 1,2
male,06.09.2025 09:03:10,06.09.2025 09:06:10,None,Entrance 1,2
male,06.09.2025 09:03:21,06.09.2025 09:06:24,Entrance 1,Entrance 1,1
male,06.09.2025 09:00:50,06.09.2025 09:06:25,Entrance 2,Entrance 2,1
male,06.09.2025 09:01:45,06.09.2025 09:06:25,Entrance 1,None,1
male,06.09.2025 09:01:50,06.09.2025 09:06:30,Entrance 1,Entrance 2,1
female,06.09.2025 09:03:48,06.09.2025 09:06:48,None,Entrance 1,1
male,06.09.2025 09:01:26,06.09.2025 09:06:49,Entrance 1,Entrance 1,2
female,06.09.2025 09:00:07,06.09.2025 09:07:06,Entrance 1,Entrance 1,2
car,06.09.2025 07:24:32,06.09.2025 09:07:31,None,None,1
male,06.09.2025 09:01:32,06.09.2025 09:07:36,Entrance 1,Entrance 1,1
male,06.09.2025 09:02:34,06.09.2025 09:08:13,Entrance 1,Entrance 1,2
female,06.09.2025 09:03:20,06.09.2025 09:08:28,Entrance 1,None,1
female,06.09.2025 09:00:25,06.09.2025 09:08:31,Entrance 1,Entrance 1,1
male,06.09.2025 09:03:13,06.09.2025 09:09:33,Entrance 2,Entrance 1,1
female,06.09.2025 09:00:39,06.09.2025 09:09:50,Entrance 2,Entrance 1,1
female,06.09.2025 09:01:48,06.09.2025 09:09:52,Entrance 1,None,2
female,06.09.2025 09:05:37,06.09.2025 09:10:33,Entrance 2,Entrance 2,1
male,06.09.2025 09:05:32,06.09.2025 09:10:34,None,Entrance 2,1
female,06.09.2025 09:06:10,06.09.2025 09:10:48,Entrance 1,Entrance 1,1
female,06.09.2025 09:05:51,06.09.2025 09:11:19,Entrance 1,Entrance 2,1
female,06.09.2025 09:04:27,06.09.2025 09:11:58,Entrance 1,Entrance 1,2
male,06.09.2025 09:02:08,06.09.2025 09:12:04,Entrance 1,Entrance 1,2
male,06.09.2025 09:08:47,06.09.2025 09:12:25,Entrance 1,Entrance 1,1
female,06.09.2025 09:07:52,06.09.2025 09:12:52,Entrance 1,Entrance 1,2
female,06.09.2025 09:08:04,06.09.2025 09:13:45,Entrance 1,Entrance 1,2
male,06.09.2025 09:06:36,06.09.2025 09:13:51,Entrance 2,Entrance 2,1
male,06.09.2025 09:05:46,06.09.2025 09:13:54,Entrance 1,Entrance 1,2
male,06.09.2025 09:10:41,06.09.2025 09:14:07,Entrance 1,None,2
female,06.09.2025 09:10:49,06.09.2025 09:14:23,Entrance 1,Entrance 1,2
female,06.09.2025 09:06:41,06.09.2025 09:14:28,Entrance 2,Entrance 1,1
male,06.09.2025 09:11:28,06.09.2025 09:14:28,Entrance 1,Entrance 2,1
female,06.09.2025 09:06:17,06.09.2025 09:14:50,Entrance 2,Entrance 2,1
female,06.09.2025 09:11:07,06.09.2025 09:14:54,Entrance 1,Entrance 1,1
male,06.09.2025 09:07:52,06.09.2025 09:14:57,Entrance 1,Entrance 1,2
male,06.09.2025 09:09:27,06.09.2025 09:15:16,Entrance 1,Entrance 2,1
female,06.09.2025 09:11:38,06.09.2025 09:15:21,None,Entrance 2,1
male,06.09.2025 09:11:44,06.09.2025 09:15:34,Entrance 1,Entrance 1,1
male,06.09.2025 09:07:30,06.09.2025 09:15:51,Entrance 2,Entrance 2,1
female,06.09.2025 09:10:18,06.09.2025 09:16:34,Entrance 2,Entrance 1,1
male,06.09.2025 09:08:14,06.09.2025 09:16:38,Entrance 2,Entrance 1,1
male,06.09.2025 09:10:40,06.09.2025 09:16:55,Entrance 1,None,2
female,06.09.2025 09:09:20,06.09.2025 09:17:38,Entrance 1,Entrance 2,1
male,06.09.2025 09:12:18,06.09.2025 09:17:41,Entrance 1,Entrance 1,2
female,06.09.2025 09:12:53,06.09.2025 09:17:54,Entrance 1,Entrance 1,1
female,06.09.2025 09:12:01,06.09.2025 09:18:14,Entrance 1,Entrance 1,1
car,06.09.2025 08:39:39,06.09.2025 09:18:41,None,None,1
female,06.09.2025 09:10:38,06.09.2025 09:19:19,Entrance 2,Entrance 1,1
male,06.09.2025 09:12:37,06.09.2025 09:20:26,Entrance 1,Entrance 1,2
male,06.09.2025 09:16:57,06.09.2025 09:20:46,Entrance 1,Entrance 1,2
male,06.09.2025 09:10:50,06.09.2025 09:20:50,Entrance 1,Entrance 1,2
female,06.09.2025 09:12:55,06.09.2025 09:21:08,Entrance 1,Entrance 1,2
female,06.09.2025 09:11:13,06.09.2025 09:21:13,Entrance 1,Entrance 1,2
female,06.09.2025 09:18:29,06.09.2025 09:21:29,Entrance 1,Entrance 2,1
male,06.09.2025 09:17:07,06.09.2025 09:21:31,Entrance 1,Entrance 1,2
male,06.09.2025 09:17:04,06.09.2025 09:21:57,Entrance 1,Entrance 2,1
female,06.09.2025 09:17:22,06.09.2025 09:22:18,Entrance 1,None,2
car,06.09.2025 08:26:29,06.09.2025 09:23:15,None,None,2
male,06.09.2025 09:13:19,06.09.2025 09:23:19,Entrance 2,Entrance 1,1
male,06.09.2025 09:20:02,06.09.2025 09:24:25,Entrance 1,Entrance 1,1
female,06.09.2025 09:15:04,06.09.2025 09:24:38,Entrance 1,Entrance 1,2
female,06.09.2025 09:21:12,06.09.2025 09:24:46,Entrance 1,Entrance 1,2
male,06.09.2025 09:16:03,06.09.2025 09:25:17,Entrance 1,Entrance 2,1
male,06.09.2025 09:18:16,06.09.2025 09:25:29,Entrance 1,Entrance 1,2
male,06.09.2025 09:20:23,06.09.2025 09:25:40,Entrance 1,Entrance 1,2
male,06.09.2025 09:19:35,06.09.2025 09:25:42,Entrance 1,Entrance 2,1
male,06.09.2025 09:21:55,06.09.2025 09:25:53,Entrance 1,Entrance 2,1
male,06.09.2025 09:20:22,06.09.2025 09:26:36,Entrance 1,Entrance 1,1
male,06.09.2025 09:16:40,06.09.2025 09:26:40,Entrance 1,Entrance 1,1
male,06.09.2025 09:20:33,06.09.2025 09:26:50,Entrance 1,Entrance 1,2
car,06.09.2025 07:06:13,06.09.2025 09:26:54,None,None,1
female,06.09.2025 09:22:33,06.09.2025 09:27:18,Entrance 1,Entrance 2,1
male,06.09.2025 09:21:13,06.09.2025 09:27:21,Entrance 1,Entrance 1,2
female,06.09.2025 09:19:55,06.09.2025 09:27:27,Entrance 1,Entrance 1,2
male,06.09.2025 09:19:22,06.09.2025 09:27:48,Entrance 1,None,1
car,06.09.2025 08:13:23,06.09.2025 09:28:06,None,None,1
male,06.09.2025 09:21:36,06.09.2025 09:28:33,Entrance 1,Entrance 2,1
female,06.09.2025 09:25:35,06.09.2025 09:29:16,Entrance 1,None,2
female,06.09.2025 09:20:08,06.09.2025 09:29:18,Entrance 1,Entrance 2,1
female,06.09.2025 09:22:23,06.09.2025 09:30:09,Entrance 1,Entrance 1,2
female,06.09.2025 09:22:11,06.09.2025 09:30:25,Entrance 1,Entrance 1,2
male,06.09.2025 09:26:28,06.09.2025 09:31:02,Entrance 1,Entrance 1,2
male,06.09.2025 09:26:04,06.09.2025 09:31:31,Entrance 1,None,1
female,06.09.2025 09:23:01,06.09.2025 09:31:34,Entrance 2,Entrance 1,1
male,06.09.2025 09:28:24,06.09.2025 09:32:10,Entrance 1,Entrance 2,1
male,06.09.2025 09:24:35,06.09.2025 09:32:25,Entrance 1,Entrance 2,1
male,06.09.2025 09:27:16,06.09.2025 09:32:26,Entrance 1,None,2
male,06.09.2025 09:24:38,06.09.2025 09:33:31,Entrance 1,Entrance 2,1
male,06.09.2025 09:30:28,06.09.2025 09:35:03,Entrance 1,Entrance 1,2
male,06.09.2025 09:30:08,06.09.2025 09:36:52,Entrance 1,Entrance 1,2
female,06.09.2025 09:32:05,06.09.2025 09:36:55,Entrance 1,Entrance 1,2
male,06.09.2025 09:32:39,06.09.2025 09:37:12,Entrance 1,Entrance 1,1
male,06.09.2025 09:33:18,06.09.2025 09:37:38,Entrance 1,None,2
female,06.09.2025 09:27:47,06.09.2025 09:37:47,Entrance 2,Entrance 1,1
female,06.09.2025 09:32:37,06.09.2025 09:37:53,Entrance 2,Entrance 2,1
female,06.09.2025 09:35:05,06.09.2025 09:38:05,Entrance 1,Entrance 1,2
male,06.09.2025 09:31:28,06.09.2025 09:38:07,Entrance 2,Entrance 1,1
male,06.09.2025 09:28:08,06.09.2025 09:38:08,Entrance 2,Entrance 2,1
female,06.09.2025 09:34:58,06.09.2025 09:38:18,Entrance 1,Entrance 2,1
male,06.09.2025 09:32:14,06.09.2025 09:38:35,Entrance 2,Entrance 2,1
male,06.09.2025 09:36:06,06.09.2025 09:40:10,Entrance 1,Entrance 2,1
female,06.09.2025 09:37:53,06.09.2025 09:40:53,Entrance 1,Entrance 1,1
male,06.09.2025 09:36:47,06.09.2025 09:40:59,None,Entrance 1,1
car,06.09.2025 08:48:17,06.09.2025 09:41:09,None,None,2
male,06.09.2025 09:31:20,06.09.2025 09:41:20,Entrance 2,Entrance 1,1
female,06.09.2025 09:33:01,06.09.2025 09:41:21,Entrance 1,Entrance 1,2
male,06.09.2025 09:31:47,06.09.2025 09:41:24,Entrance 2,Entrance 1,1
male,06.09.2025 09:35:19,06.09.2025 09:42:06,Entrance 1,Entrance 2,1
male,06.09.2025 09:34:23,06.09.2025 09:42:28,Entrance 2,Entrance 1,1
female,06.09.2025 09:38:51,06.09.2025 09:42:31,Entrance 1,Entrance 1,2
male,06.09.2025 09:39:50,06.09.2025 09:42:50,Entrance 1,Entrance 1,2
male,06.09.2025 09:40:02,06.09.2025 09:43:30,Entrance 1,Entrance 1,1
male,06.09.2025 09:34:59,06.09.2025 09:43:36,Entrance 2,Entrance 1,1
male,06.09.2025 09:33:43,06.09.2025 09:43:43,Entrance 2,Entrance 1,1
male,06.09.2025 09:34:15,06.09.2025 09:44:15,Entrance 1,Entrance 2,1
female,06.09.2025 09:35:08,06.09.2025 09:45:08,Entrance 2,Entrance 1,1
female,06.09.2025 09:39:22,06.09.2025 09:46:05,Entrance 1,Entrance 1,2
male,06.09.2025 09:37:51,06.09.2025 09:46:15,Entrance 1,Entrance 2,1
female,06.09.2025 09:40:13,06.09.2025 09:46:25,Entrance 1,Entrance 1,2
car,06.09.2025 08:50:02,06.09.2025 09:46:43,None,None,1
male,06.09.2025 09:42:18,06.09.2025 09:46:56,Entrance 1,Entrance 1,2
car,06.09.2025 07:35:15,06.09.2025 09:47:19,None,None,1
male,06.09.2025 09:38:38,06.09.2025 09:47:24,Entrance 1,Entrance 1,2
male,06.09.2025 09:41:17,06.09.2025 09:47:30,Entrance 1,Entrance 1,2
car,06.09.2025 08:34:22,06.09.2025 09:48:28,None,None,2
male,06.09.2025 09:42:38,06.09.2025 09:48:58,Entrance 1,Entrance 1,2
male,06.09.2025 09:44:21,06.09.2025 09:50:28,Entrance 1,Entrance 1,2
male,06.09.2025 09:40:54,06.09.2025 09:50:54,Entrance 2,Entrance 2,1
male,06.09.2025 09:49:06,06.09.2025 09:52:06,None,Entrance 1,2
male,06.09.2025 09:45:59,06.09.2025 09:52:40,Entrance 1,Entrance 1,2
male,06.09.2025 09:50:36,06.09.2025 09:54:22,Entrance 1,Entrance 1,2
male,06.09.2025 09:49:57,06.09.2025 09:54:28,Entrance 1,Entrance 1,2
female,06.09.2025 09:51:35,06.09.2025 09:55:59,Entrance 1,None,2
male,06.09.2025 09:48:39,06.09.2025 09:58:20,Entrance 1,Entrance 1,2
female,06.09.2025 09:54:50,06.09.2025 09:59:48,Entrance 1,Entrance 1,2
male,06.09.2025 09:51:20,06.09.2025 10:00:04,Entrance 1,Entrance 1,2
female,06.09.2025 09:58:55,06.09.2025 10:01:55,Entrance 1,Entrance 1,2
male,06.09.2025 09:59:21,06.09.2025 10:02:23,Entrance 1,Entrance 1,2
female,06.09.2025 10:00:30,06.09.2025 10:03:30,None,Entrance 1,2
female,06.09.2025 09:59:14,06.09.2025 10:03:42,Entrance 1,Entrance 1,2
male,06.09.2025 10:00:49,06.09.2025 10:03:49,Entrance 1,Entrance 1,1
male,06.09.2025 10:00:24,06.09.2025 10:04:08,Entrance 1,Entrance 2,1
female,06.09.2025 10:00:01,06.09.2025 10:04:11,Entrance 1,Entrance 2,1
male,06.09.2025 10:00:59,06.09.2025 10:04:15,Entrance 1,Entrance 1,1
female,06.09.2025 10:01:30,06.09.2025 10:04:30,Entrance 1,Entrance 2,1
female,06.09.2025 10:01:22,06.09.2025 10:04:39,Entrance 2,Entrance 1,1
female,06.09.2025 09:59:51,06.09.2025 10:04:45,Entrance 1,Entrance 1,2
male,06.09.2025 10:00:03,06.09.2025 10:05:28,Entrance 1,Entrance 1,1
male,06.09.2025 10:02:07,06.09.2025 10:06:10,Entrance 2,Entrance 1,1
male,06.09.2025 10:00:05,06.09.2025 10:06:38,Entrance 1,Entrance 1,1
male,06.09.2025 10:02:25,06.09.2025 10:06:40,Entrance 1,Entrance 1,1
male,06.09.2025 10:01:47,06.09.2025 10:06:58,Entrance 1,Entrance 2,1
male,06.09.2025 10:02:40,06.09.2025 10:07:06,Entrance 2,Entrance 1,1
male,06.09.2025 10:01:04,06.09.2025 10:07:17,Entrance 1,Entrance 2,1
female,06.09.2025 10:00:14,06.09.2025 10:07:31,Entrance 2,Entrance 2,1
female,06.09.2025 10:01:40,06.09.2025 10:07:35,Entrance 2,Entrance 2,1
male,06.09.2025 10:05:17,06.09.2025 10:08:17,Entrance 1,Entrance 2,1
male,06.09.2025 10:03:23,06.09.2025 10:08:34,Entrance 1,None,1
male,06.09.2025 10:02:08,06.09.2025 10:08:55,Entrance 2,Entrance 1,1
female,06.09.2025 10:01:55,06.09.2025 10:09:16,Entrance 2,Entrance 1,1
female,06.09.2025 10:00:09,06.09.2025 10:10:09,Entrance 2,Entrance 2,1
female,06.09.2025 10:00:52,06.09.2025 10:10:21,Entrance 1,None,2
male,06.09.2025 10:02:08,06.09.2025 10:10:53,Entrance 1,Entrance 2,1
male,06.09.2025 10:07:48,06.09.2025 10:10:55,Entrance 1,Entrance 2,1
male,06.09.2025 10:06:03,06.09.2025 10:11:28,Entrance 2,Entrance 2,1
female,06.09.2025 10:06:29,06.09.2025 10:11:36,Entrance 1,Entrance 1,1
female,06.09.2025 10:08:36,06.09.2025 10:11:36,Entrance 1,Entrance 2,1
female,06.09.2025 10:03:30,06.09.2025 10:11:38,Entrance 2,Entrance 1,1
male,06.09.2025 10:08:50,06.09.2025 10:11:50,None,Entrance 1,2
female,06.09.2025 10:06:55,06.09.2025 10:12:22,Entrance 2,Entrance 2,1
male,06.09.2025 10:06:51,06.09.2025 10:12:30,Entrance 1,Entrance 1,2
car,06.09.2025 09:03:46,06.09.2025 10:12:44,None,None,1
female,06.09.2025 10:04:27,06.09.2025 10:12:56,Entrance 2,Entrance 1,1
male,06.09.2025 10:07:55,06.09.2025 10:13:03,Entrance 1,Entrance 1,2
male,06.09.2025 10:06:44,06.09.2025 10:13:43,Entrance 2,Entrance 2,1
male,06.09.2025 10:10:43,06.09.2025 10:13:43,None,Entrance 1,1
female,06.09.2025 10:04:49,06.09.2025 10:14:49,Entrance 2,Entrance 2,1
female,06.09.2025 10:06:40,06.09.2025 10:15:09,Entrance 2,Entrance 1,1
male,06.09.2025 10:08:50,06.09.2025 10:15:10,Entrance 1,Entrance 1,2
male,06.09.2025 10:08:34,06.09.2025 10:15:15,Entrance 1,Entrance 1,1
male,06.09.2025 10:10:55,06.09.2025 10:15:22,Entrance 1,Entrance 1,1
female,06.09.2025 10:10:08,06.09.2025 10:15:41,Entrance 1,Entrance 1,2
male,06.09.2025 10:11:12,06.09.2025 10:16:00,Entrance 2,Entrance 2,1
female,06.09.2025 10:12:03,06.09.2025 10:16:17,Entrance 1,Entrance 2,1
male,06.09.2025 10:07:06,06.09.2025 10:16:19,Entrance 2,None,1
female,06.09.2025 10:07:00,06.09.2025 10:16:24,Entrance 2,Entrance 2,1
male,06.09.2025 10:11:22,06.09.2025 10:16:49,Entrance 1,Entrance 1,2
car,06.09.2025 08:54:11,06.09.2025 10:16:57,None,None,1
male,06.09.2025 10:10:15,06.09.2025 10:17:52,Entrance 1,Entrance 1,1
female,06.09.2025 10:12:43,06.09.2025 10:18:01,Entrance 2,Entrance 2,1
male,06.09.2025 10:14:48,06.09.2025 10:18:15,Entrance 1,Entrance 1,2
female,06.09.2025 10:15:00,06.09.2025 10:18:18,Entrance 1,Entrance 1,1
female,06.09.2025 10:12:18,06.09.2025 10:18:25,Entrance 1,Entrance 1,2
male,06.09.2025 10:13:28,06.09.2025 10:19:02,Entrance 1,Entrance 2,1
female,06.09.2025 10:14:12,06.09.2025 10:19:06,Entrance 1,Entrance 1,2
female,06.09.2025 10:15:20,06.09.2025 10:19:35,Entrance 1,Entrance 1,2
male,06.09.2025 10:09:53,06.09.2025 10:19:53,Entrance 2,Entrance 1,1
male,06.09.2025 10:15:39,06.09.2025 10:20:06,Entrance 1,Entrance 1,2
male,06.09.2025 10:16:57,06.09.2025 10:20:43,Entrance 1,Entrance 2,1
male,06.09.2025 10:17:44,06.09.2025 10:20:44,Entrance 1,Entrance 2,1
female,06.09.2025 10:10:46,06.09.2025 10:20:46,Entrance 1,Entrance 1,1
male,06.09.2025 10:11:45,06.09.2025 10:20:49,Entrance 2,Entrance 1,1
male,06.09.2025 10:17:35,06.09.2025 10:21:09,Entrance 1,Entrance 1,1
male,06.09.2025 10:15:58,06.09.2025 10:21:09,Entrance 2,Entrance 1,1
male,06.09.2025 10:13:41,06.09.2025 10:21:10,Entrance 2,Entrance 2,1
car,06.09.2025 08:59:04,06.09.2025 10:21:13,None,None,1
female,06.09.2025 10:15:37,06.09.2025 10:21:21,Entrance 2,Entrance 1,1
female,06.09.2025 10:14:52,06.09.2025 10:21:49,Entrance 2,Entrance 2,1
car,06.09.2025 09:16:40,06.09.2025 10:22:29,None,None,1
male,06.09.2025 10:18:31,06.09.2025 10:23:14,Entrance 1,Entrance 2,1
female,06.09.2025 10:14:44,06.09.2025 10:23:20,Entrance 2,Entrance 1,1
male,06.09.2025 10:18:15,06.09.2025 10:23:36,None,None,2
male,06.09.2025 10:18:20,06.09.2025 10:23:51,Entrance 1,Entrance 1,2
car,06.09.2025 09:31:57,06.09.2025 10:24:02,None,None,2
male,06.09.2025 10:21:12,06.09.2025 10:24:23,Entrance 1,Entrance 1,2
male,06.09.2025 10:19:46,06.09.2025 10:24:46,Entrance 1,Entrance 2,1
male,06.09.2025 10:20:32,06.09.2025 10:24:51,Entrance 2,Entrance 1,1
male,06.09.2025 10:21:11,06.09.2025 10:25:06,Entrance 1,Entrance 1,2
male,06.09.2025 10:17:22,06.09.2025 10:25:52,Entrance 2,Entrance 1,1
male,06.09.2025 10:22:52,06.09.2025 10:26:16,None,Entrance 1,2
male,06.09.2025 10:22:35,06.09.2025 10:26:55,Entrance 1,Entrance 1,1
male,06.09.2025 10:21:29,06.09.2025 10:27:05,Entrance 1,None,1
car,06.09.2025 09:37:56,06.09.2025 10:27:14,None,None,2
female,06.09.2025 10:21:53,06.09.2025 10:27:30,Entrance 1,Entrance 1,2
male,06.09.2025 10:20:16,06.09.2025 10:27:41,Entrance 2,Entrance 2,1
male,06.09.2025 10:23:29,06.09.2025 10:27:56,Entrance 1,Entrance 1,2
female,06.09.2025 10:22:05,06.09.2025 10:28:18,Entrance 1,Entrance 1,1
male,06.09.2025 10:22:46,06.09.2025 10:29:45,Entrance 2,Entrance 2,1
female,06.09.2025 10:27:08,06.09.2025 10:30:08,None,Entrance 1,2
male,06.09.2025 10:26:45,06.09.2025 10:30:17,Entrance 1,Entrance 1,2
female,06.09.2025 10:26:05,06.09.2025 10:30:22,Entrance 2,Entrance 1,1
female,06.09.2025 10:24:53,06.09.2025 10:30:23,Entrance 2,Entrance 1,1
female,06.09.2025 10:25:47,06.09.2025 10:30:41,Entrance 1,Entrance 1,2
female,06.09.2025 10:27:31,06.09.2025 10:31:18,Entrance 1,Entrance 1,2
female,06.09.2025 10:28:27,06.09.2025 10:31:44,Entrance 1,Entrance 2,1
female,06.09.2025 10:23:52,06.09.2025 10:31:55,Entrance 1,Entrance 2,1
male,06.09.2025 10:26:37,06.09.2025 10:32:50,Entrance 1,Entrance 2,1
female,06.09.2025 10:30:21,06.09.2025 10:34:03,Entrance 1,Entrance 1,2
male,06.09.2025 10:30:52,06.09.2025 10:34:11,Entrance 1,Entrance 1,2
male,06.09.2025 10:28:06,06.09.2025 10:34:11,Entrance 1,Entrance 1,2
female,06.09.2025 10:25:19,06.09.2025 10:35:19,Entrance 2,Entrance 2,1
male,06.09.2025 10:29:24,06.09.2025 10:35:54,Entrance 1,None,2
male,06.09.2025 10:33:13,06.09.2025 10:37:26,Entrance 1,Entrance 1,1
male,06.09.2025 10:32:21,06.09.2025 10:38:52,Entrance 1,Entrance 1,2
male,06.09.2025 10:29:00,06.09.2025 10:38:58,Entrance 2,Entrance 1,1
male,06.09.2025 10:35:14,06.09.2025 10:39:19,Entrance 1,Entrance 1,1
female,06.09.2025 10:36:27,06.09.2025 10:39:28,None,Entrance 1,1
male,06.09.2025 10:34:26,06.09.2025 10:40:41,Entrance 1,Entrance 1,2
male,06.09.2025 10:33:06,06.09.2025 10:41:38,Entrance 2,Entrance 1,1
male,06.09.2025 10:33:25,06.09.2025 10:41:43,Entrance 2,Entrance 1,1
female,06.09.2025 10:32:50,06.09.2025 10:42:50,Entrance 2,Entrance 2,1
male,06.09.2025 10:36:53,06.09.2025 10:43:12,Entrance 1,Entrance 1,2
male,06.09.2025 10:38:15,06.09.2025 10:43:35,Entrance 1,Entrance 1,2
female,06.09.2025 10:39:20,06.09.2025 10:44:15,Entrance 1,Entrance 2,1
female,06.09.2025 10:39:01,06.09.2025 10:45:22,Entrance 1,Entrance 1,1
male,06.09.2025 10:41:02,06.09.2025 10:45:39,Entrance 1,Entrance 2,1
male,06.09.2025 10:41:17,06.09.2025 10:46:04,Entrance 1,Entrance 1,2
male,06.09.2025 10:39:37,06.09.2025 10:46:27,Entrance 1,Entrance 1,1
male,06.09.2025 10:43:40,06.09.2025 10:46:40,Entrance 1,Entrance 1,2
male,06.09.2025 10:40:09,06.09.2025 10:47:07,Entrance 2,Entrance 2,1
male,06.09.2025 10:40:22,06.09.2025 10:47:11,Entrance 1,Entrance 1,2
female,06.09.2025 10:39:57,06.09.2025 10:48:05,Entrance 1,Entrance 1,2
male,06.09.2025 10:40:34,06.09.2025 10:50:34,Entrance 1,Entrance 1,2
male,06.09.2025 10:45:24,06.09.2025 10:52:27,Entrance 1,Entrance 1,2
